set_no,name,price_store,price_new,price_used,rating_value,rating_votes,theme_group,theme,subtheme,main_tag,year,volume,weight,piece_cnt,minifig_cnt
60090-1,Deep Sea Scuba Scooter,6.99,8,6,3.8,6,Modern day,City,Deep Sea Explorers,,2015,521.794,0.06,42,1
60091-1,Deep Sea Starter Set,9.99,14,8,4.5,2,Modern day,City,Deep Sea Explorers,,2015,996.165,0.14,90,3
60092-1,Deep Sea Submarine,39.99,55,28,4.5,4,Modern day,City,Deep Sea Explorers,,2015,5615.184,0.57,274,3
60093-1,Deep Sea Helicopter,49.99,50,25,4.5,2,Modern day,City,Deep Sea Explorers,,2015,5704.788,0.73,388,3
60095-1,Deep Sea Exploration Vessel,119.99,141,89,4.4,5,Modern day,City,Deep Sea Explorers,,2015,17055.36,1.73,717,7
60096-1,Deep Sea Operation Base,99.99,90,64,4,3,Modern day,City,Deep Sea Explorers,,2015,17055.36,1.64,907,5
60097-1,City Square,189.99,146,124,5,4,Modern day,City,Town,,2015,25959.528,3.19,1683,14
60098-1,Heavy-Haul Train,199.99,188,171,4,1,Modern day,City,Trains,,2015,25959.528,2.62,984,5
60099-1,City Advent Calendar,29.99,24,14,,,Modern day,City,Seasonal,,2015,7105.964,0.39,278,6
70166-1,Spyclops Infiltration,9.99,11,8,4,2,Action/Adventure,Ultra Agents,,,2015,996.165,0.13,109,2
70167-1,Invizable Gold Getaway,19.99,27,15,5,1,Action/Adventure,Ultra Agents,,,2015,2301.932,0.3,237,2
70168-1,Drillex Diamond Job,29.99,30,19,4,1,Action/Adventure,Ultra Agents,,,2015,3989.226,0.44,312,2
70169-1,Agent Stealth Patrol,49.99,42,30,5,2,Action/Adventure,Ultra Agents,,,2015,7105.964,0.73,475,4
70170-1,UltraCopter vs. AntiMatter,79.99,86,57,5,2,Action/Adventure,Ultra Agents,,,2015,11877.84,1.09,614,4
70171-1,Ultrasonic Showdown,19.99,84,40,5,2,Action/Adventure,Ultra Agents,,,2015,,,187,2
70172-1,AntiMatter's Portal Hideout,69.99,94,70,,,Action/Adventure,Ultra Agents,,,2015,,,475,4
70173-1,Ultra Agents Ocean HQ,99.99,261,199,5,2,Action/Adventure,Ultra Agents,,,2015,,,1204,6
70220-1,Strainor's Saber Cycle,14.99,18,7,4,1,Action/Adventure,Legends of Chima,Fire vs. Ice,,2015,1773.216,0.21,161,2
70221-1,Flinx's Ultimate Phoenix,19.99,25,16,4,1,Action/Adventure,Legends of Chima,Fire vs. Ice,,2015,2301.932,0.3,172,2
70222-1,Tormak's Shadow Blazer,29.99,26,15,5,1,Action/Adventure,Legends of Chima,Fire vs. Ice,,2015,4420.464,0.49,311,3
70223-1,Icebite's Claw Driller,49.99,53,32,,,Action/Adventure,Legends of Chima,Fire vs. Ice,,2015,7105.964,0.8,629,4
70224-1,Tiger's Mobile Command,79.99,129,65,5,1,Action/Adventure,Legends of Chima,Fire vs. Ice,,2015,11877.84,1.23,712,6
70225-1,Bladvic's Rumble Bear,39.99,38,27,5,1,Action/Adventure,Legends of Chima,Fire vs. Ice,,2015,5604.704,0.69,415,3
70226-1,Mammoth's Frozen Stronghold,59.99,34,,,,Action/Adventure,Legends of Chima,Fire vs. Ice,,2015,8256.96,1.02,621,5
70227-1,King Crominus' Rescue,89.99,64,60,5,1,Action/Adventure,Legends of Chima,Fire vs. Ice,,2015,12882.24,1.41,863,6
70228-1,Vultrix's Sky Scavenger,39.99,31,,5,2,Action/Adventure,Legends of Chima,Fire vs. Ice,,2015,5604.704,0.65,480,3
70229-1, Lion Tribe Pack,9.99,11,6,4,2,Action/Adventure,Legends of Chima,Tribe Packs,,2015,791.292,0.1,78,3
70230-1,Ice Bear Tribe Pack,9.99,10,7,3,1,Action/Adventure,Legends of Chima,Tribe Packs,,2015,791.292,0.1,75,3
70231-1,Crocodile Tribe Pack,9.99,12,8,4,2,Action/Adventure,Legends of Chima,Tribe Packs,,2015,791.292,0.1,72,3
70232-1,Saber Tooth Tiger Tribe Pack,9.99,12,7,,,Action/Adventure,Legends of Chima,Tribe Packs,,2015,791.292,0.1,74,3
70409-1,Shipwreck Defence,12.99,19,11,4.3,3,Historical,Pirates,,,2015,996.165,0.11,84,2
70410-1,Soldiers Outpost,19.99,33,21,4.3,3,Historical,Pirates,,,2015,3052.562,0.35,164,3
70411-1,Treasure Island,19.99,55,40,5,3,Historical,Pirates,,,2015,3052.562,0.37,181,3
70412-1,Soldiers Fort,29.99,51,35,3.7,3,Historical,Pirates,,,2015,4359.156,0.54,234,5
70413-1,The Brick Bounty,99.99,164,132,4.8,5,Historical,Pirates,,,2015,17055.36,1.69,745,7
70730-1,Chain Cycle Ambush,29.99,33,25,4,1,Action/Adventure,Ninjago,Possession,,2015,3989.226,0.46,298,3
70731-1,Jay Walker One,39.99,50,20,5,1,Action/Adventure,Ninjago,Possession,,2015,6152.874,0.71,386,4
70732-1,City of Stiix,99.99,121,85,4.8,4,Action/Adventure,Ninjago,Possession,,2015,19139.652,1.83,1069,9
